rank,symbol,name,score,grade,one_year_direction
475,MAHSCOOTER,Maharashtra Scooters,48,Mixed,improved
476,MANAPPURAM,Manappuram Finance Ltd.,48,Mixed,declined
477,ONGC,Oil & Natural Gas Corporation Ltd.,48,Mixed,improved
478,PCBL,PCBL Chemical,48,Mixed,declined
479,PIRAMALFIN,Piramal Finance.,48,Mixed,improved
480,POWERMECH,Power Mech Projects,48,Mixed,declined
481,SBICARD,SBI Cards,48,Mixed,improved
482,SUNTECK,Sunteck Realty,48,Mixed,improved
483,TATAINVEST,Tata Investment Corporation Ltd.,48,Mixed,improved
484,TATATECH,Tata Technolog.,48,Mixed,declined
485,VIKRAMSOLR,Vikram Solar,48,Mixed,held steady
486,ADANIENT,Adani Enterp.,47,Mixed,held steady
487,CHENNPETRO,Chennai Petroleum Corporation Ltd.,47,Mixed,held steady
488,COCHINSHIP,Cochin Shipyard Ltd.,47,Mixed,held steady
489,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,47,Mixed,declined
490,HDFCBANK,HDFC Bank Ltd.,47,Mixed,improved
491,HEMIPROP,Hemisphere Prop,47,Mixed,held steady
492,IMFA,IMFA,47,Mixed,improved
493,JKPAPER,JK Paper,47,Mixed,held steady
494,JKTYRE,JK Tyre & Industries Ltd.,47,Mixed,improved
495,KRBL,KRBL,47,Mixed,held steady
496,LATENTVIEW,Latent View,47,Mixed,declined
497,MASTEK,Mastek,47,Mixed,held steady
498,PAYTM,One 97,47,Mixed,improved
499,RKFORGE,Ramkrishna Forgings Ltd.,47,Mixed,declined
500,ANGELONE,Angel One,46,Mixed,declined
501,AXISBANK,Axis Bank Ltd.,46,Mixed,improved
502,DALBHARAT,Dalmia BharatLtd,46,Mixed,improved
503,DCMSHRIRAM,DCM Shriram Ltd.,46,Mixed,improved
504,EXIDEIND,Exide Industries Ltd.,46,Mixed,held steady
505,IRB,IRB Infrastructure Developers Ltd.,46,Mixed,declined
506,JSWSTEEL,JSW Steel Ltd.,46,Mixed,improved
507,NATCOPHARM,NATCO Pharma Ltd.,46,Mixed,declined
508,OIL,Oil India Ltd.,46,Mixed,declined
509,PFIZER,Pfizer Ltd.,46,Mixed,improved
510,PREMIERENE,Premier Energies,46,Mixed,declined
511,RITES,RITES Ltd.,46,Mixed,improved
512,SKFINDIA,SKF India,46,Mixed,declined
513,SWIGGY,Swiggy,46,Mixed,held steady
514,TECHM,Tech Mahindra Ltd.,46,Mixed,improved
515,TRIDENT,Trident Ltd.,46,Mixed,improved
516,ZENSARTECH,Zensar Technolgies Ltd.,46,Mixed,held steady
517,ABSLAMC,Aditya AMC,45,Mixed,improved
518,ADVENZYMES,Advanced Enzyme,45,Mixed,improved
519,BANDHANBNK,Bandhan Bank Ltd.,45,Mixed,improved
520,BIOCON,Biocon Ltd.,45,Mixed,held steady
521,BPCL,Bharat Petroleum Corporation Ltd.,45,Mixed,improved
522,CELLO,Cello World,45,Mixed,held steady
523,DEVYANI,Devyani Intl.,45,Mixed,improved
524,ESCORTS,Escorts Ltd.,45,Mixed,improved
525,GLAND,Gland Pharma,45,Mixed,improved
526,JSWENERGY,JSW Energy Ltd.,45,Mixed,held steady
527,KANSAINER,Kansai Nerolac,45,Mixed,held steady
528,KPRMILL,K.P.R. Mill Ltd.,45,Mixed,held steady
529,NFL,National Fertilizers,45,Mixed,improved
530,POWERGRID,Power Grid Corporation of India Ltd.,45,Mixed,improved
531,RAMCOCEM,The Ramco Cements Ltd.,45,Mixed,improved
532,STAR,Strides Pharma,45,Mixed,held steady
533,ASHAPURMIN,Ashapura Minechem,44,Mixed,improved
534,BANKINDIA,Bank of India,44,Mixed,improved
535,BATAINDIA,Bata India Ltd.,44,Mixed,improved
536,BBOX,Black Bo,44,Mixed,held steady
537,BHARATFORG,Bharat Forge Ltd.,44,Mixed,improved
538,CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,44,Mixed,held steady
539,CHOICEIN,Choice Intl.,44,Mixed,improved
540,CUPID,Cupid,44,Mixed,improved
541,GPPL,Gujarat Pipavav Port,44,Mixed,improved
542,JPPOWER,JP Power Ven.,44,Mixed,improved
543,NBCC,NBCC (India) Ltd.,44,Mixed,held steady
544,PFOCUS,Prime Focus,44,Mixed,held steady
545,PGEL,PG Electroplast,44,Mixed,declined
546,PRAJIND,Praj Industries,44,Mixed,held steady
547,RATNAMANI,Ratnamani Metals,44,Mixed,improved
548,SUBROS,Subros,44,Mixed,declined
549,SUDARSCHEM,Sudarshan Chemicals,44,Mixed,improved
550,SUZLON,Suzlon Energy Ltd.,44,Mixed,improved
551,TANLA,Tanla Platforms,44,Mixed,held steady
552,THERMAX,Thermax Ltd.,44,Mixed,improved
553,TORNTPOWER,Torrent Power Ltd.,44,Mixed,held steady
554,TTML,Tata Tele. Mah.,44,Mixed,declined
555,UBL,United Breweries Ltd.,44,Mixed,improved
556,WHIRLPOOL,Whirlpool of India Ltd.,44,Mixed,held steady
557,AARTIPHARM,Aarti Pharmalabs,43,Mixed,improved
558,ASHOKLEY,Ashok Leyland Ltd.,43,Mixed,improved
559,CCAVENUE,AvenuesAI,43,Mixed,declined
560,CIEINDIA,CIE Automotive,43,Mixed,held steady
561,CYIENT,Cyient Ltd.,43,Mixed,improved
562,EIEL,Enviro Infra Engine.,43,Mixed,declined
563,ENGINERSIN,Engineers India Ltd.,43,Mixed,improved
564,GAIL,GAIL (India) Ltd.,43,Mixed,improved
565,GESHIP,Great Eastern Shipping Co. Ltd.,43,Mixed,improved
566,IGL,Indraprastha Gas Ltd.,43,Mixed,improved
567,IOC,Indian Oil Corporation Ltd.,43,Mixed,improved
568,JINDALSTEL,Jindal Steel & Power Ltd.,43,Mixed,declined
569,JUSTDIAL,Just Dial,43,Mixed,improved
570,KAYNES,Kaynes Tech,43,Mixed,declined
571,MTARTECH,MTAR Technologies,43,Mixed,improved
572,NATIONALUM,National Aluminium Co. Ltd.,43,Mixed,held steady
573,RCF,Rashtriya Chemical,43,Mixed,improved
574,RECLTD,REC Ltd.,43,Mixed,declined
575,SAATVIKGL,Saatvik Green Energy,43,Mixed,held steady
576,SOBHA,Sobha Ltd.,43,Mixed,improved
577,SURYAROSNI,Surya Roshni,43,Mixed,declined
578,TARIL,T R I L,43,Mixed,declined
579,THOMASCOOK,Thomas Cook India,43,Mixed,improved
580,TSFINV,TSF Investments,43,Mixed,held steady
581,UJJIVANSFB,Ujjivan Small Fin,43,Mixed,held steady
582,AARTIIND,Aarti Industries,42,Mixed,held steady
583,ADANIENSOL,Adani Energy Sol,42,Mixed,improved
584,ADANIGREEN,Adani Green Energy Ltd.,42,Mixed,held steady
585,AUROPHARMA,Aurobindo Pharma Ltd.,42,Mixed,improved
586,BORORENEW,Borosil Renewables,42,Mixed,held steady
587,DEEPAKNTR,Deepak Nitrite Ltd.,42,Mixed,declined
588,EIDPARRY,E.I.D. Parry (India) Ltd.,42,Mixed,declined
589,FINCABLES,Finolex Cables Ltd.,42,Mixed,declined
590,IONEXCHANG,Ion Exchange,42,Mixed,held steady
591,JKLAKSHMI,JK Lakshmi Cement,42,Mixed,improved
592,EMMVEE,Emmvee Photovol.,41,Mixed,held steady
593,GOKEX,Gokaldas Exports,41,Mixed,held steady
594,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,41,Mixed,improved
595,JAYNECOIND,Jayaswal Neco Inds,41,Mixed,held steady
596,JMFINANCIL,JM Financial Ltd.,41,Mixed,improved
597,JSWDULUX,JSW Dulux,41,Mixed,declined
598,QUESS,Quess Corp,41,Mixed,improved
599,RPOWER,Reliance Power Ltd.,41,Mixed,improved
600,SUNTV,Sun TV Network Ltd.,41,Mixed,improved
601,TATASTEEL,Tata Steel Ltd.,41,Mixed,improved
602,TECHNOE,Techno Elec.Engg,41,Mixed,improved
603,UTIAMC,UTI AMC,41,Mixed,improved
604,VEDL,Vedanta Ltd.,41,Mixed,held steady
605,WAAREERTL,Waaree Renewables,41,Mixed,improved
606,WIPRO,Wipro Ltd.,41,Mixed,improved
607,ACC,ACC Ltd.,40,Mixed,improved
608,CONCOR,Container Corporation of India Ltd.,40,Mixed,improved
609,GHCL,GHCL,40,Mixed,declined
610,HONAUT,Honeywell Automation India Ltd.,40,Mixed,improved
611,JINDALSAW,Jindal Saw Ltd.,40,Mixed,declined
612,KEC,Kec International Ltd.,40,Mixed,held steady
613,MIDHANI,Mishra Dhatu Nigam,40,Mixed,improved
614,PFC,Power Finance Corporation Ltd.,40,Mixed,declined
615,SAIL,Steel Authority of India Ltd.,40,Mixed,held steady
616,ACMESOLAR,ACME Solar Hold.,39,Mixed,held steady
617,APLLTD,Alembic Pharma,39,Mixed,improved
618,BDL,Bharat Dynamics Ltd.,39,Mixed,held steady
619,BHEL,Bharat Heavy Electricals Ltd.,39,Mixed,held steady
620,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,39,Mixed,declined
621,EDELWEISS,Edelweiss Financial Services,39,Mixed,improved
622,EQUITASBNK,Equitas Small Fin,39,Mixed,declined
623,INDIANB,Indian Bank,39,Mixed,improved
624,IRFC,I R F C,39,Mixed,held steady
625,KTKBANK,Karnataka Bank,39,Mixed,improved
626,MOIL,MOIL,39,Mixed,declined
627,NLCINDIA,NLC India Ltd.,39,Mixed,improved
628,SAMMAANCAP,Sammaan Capital,39,Mixed,improved
629,TIINDIA,Tube Investments of India Ltd.,39,Mixed,improved
630,TITAGARH,Titagarh Rail,39,Mixed,declined
631,UPL,UPL Ltd.,39,Mixed,improved
632,WEBELSOLAR,Websol Energy System,39,Mixed,held steady
633,AFCONS,Afcons Infrastr.,38,Mixed,held steady
634,GPIL,Godawari Power,38,Mixed,improved
635,INOXGREEN,Inox Green Energy Se,38,Mixed,held steady
636,JWL,Jupiter Wagons,38,Mixed,declined
637,NMDC,NMDC Ltd.,38,Mixed,improved
638,SHAREINDIA,Share India,38,Mixed,held steady
639,TEXRAIL,Texmaco Rail,38,Mixed,declined
640,AARTIDRUGS,Aarti Drugs,37,Mixed,improved
641,BALRAMCHIN,Balrampur Chini Mills Ltd.,37,Mixed,held steady
642,FACT,F A C T,37,Mixed,improved
643,FLUOROCHEM,Gujarat Fluoroch,37,Mixed,improved
644,GICRE,General Insurance Corporation of India,37,Mixed,held steady
645,HEG,H.E.G. Ltd.,37,Mixed,improved
646,JAIBALAJI,Jai Balaji Inds,37,Mixed,declined
647,LICHSGFIN,LIC Housing Finance Ltd.,37,Mixed,declined
648,STLTECH,Sterlite Tech,37,Mixed,improved
649,TRIVENI,Triveni Engg,37,Mixed,held steady
650,ALOKINDS,Alok Industries,36,Mixed,improved
651,BAJAJELEC,Bajaj Electricals,36,Mixed,improved
652,BSOFT,Birlasoft Ltd,36,Mixed,held steady
653,COALINDIA,Coal India Ltd.,36,Mixed,held steady
654,HCC,Hindustan Constr,36,Mixed,improved
655,INDUSINDBK,IndusInd Bank Ltd.,36,Mixed,improved
656,NHPC,NHPC Ltd.,36,Mixed,improved
657,PURVA,Puravankara,36,Mixed,improved
658,RALLIS,Rallis India,36,Mixed,held steady
659,RHIM,RHI Magnesita,36,Mixed,improved
660,VTL,Vardhman Textiles Ltd.,36,Mixed,improved
661,ANANTRAJ,Anant Raj,35,Mixed,improved
662,BEML,BEML Ltd.,35,Mixed,held steady
663,INDIACEM,India Cements Ltd.,35,Mixed,improved
664,KPIGREEN,KPI Green Energy,35,Mixed,improved
665,LXCHEM,Laxmi Organic Inds.,35,Mixed,held steady
666,MAHSEAMLES,Maharashtra Seamless,35,Mixed,declined
667,NAVA,Nava,35,Mixed,held steady
668,NAZARA,Nazara Technologies,35,Mixed,improved
669,NEOGEN,Neogen Chemicals,35,Mixed,improved
670,RELIGARE,Religare Enterprises,35,Mixed,improved
671,SCI,Shipping Corporation of India Ltd.,35,Mixed,improved
672,AXISCADES,Axiscades Tech,34,Weak,improved
673,COHANCE,Cohance Life,34,Weak,improved
674,DIACABS,Diamond Power Infra,34,Weak,improved
675,FINPIPE,Finolex Industries,34,Weak,held steady
676,ICIL,Indo Count Inds,34,Weak,improved
677,LLOYDSENT,Lloyds enterprises limited,34,Weak,improved
678,MSTCLTD,MSTC,34,Weak,improved
679,ORIENTCEM,Orient Cement,34,Weak,improved
680,PATANJALI,Patanjali Foods,34,Weak,improved
681,RAILTEL,Railtel Corpn.,34,Weak,improved
682,RBLBANK,RBL Bank Ltd.,34,Weak,improved
683,SHAKTIPUMP,Shakti Pumps,34,Weak,declined
684,ASHOKA,Ashoka Buildcon,33,Weak,improved
685,DBREALTY,Valor Estate,33,Weak,held steady
686,GMDCLTD,Gujarat Mineral Development Corporation Ltd.,33,Weak,improved
687,HFCL,Himachal Fut Com Ltd.,33,Weak,improved
688,ITI,ITI Ltd.,33,Weak,improved
689,MRPL,Mangalore Refinery & Petrochemicals Ltd.,33,Weak,improved
690,NSLNISP,NMDC Steel,33,Weak,held steady
691,OLECTRA,Olectra Greentec,33,Weak,improved
692,ROUTE,Route Mobile,33,Weak,improved
693,ABREL,A B Real Estate,32,Weak,improved
694,ACI,Archean Chem Inds,32,Weak,improved
695,BALAMINES,Balaji Amines,32,Weak,improved
696,DBL,Dilip Buildcon,32,Weak,held steady
697,GNFC,GNFC,32,Weak,improved
698,NIACL,The New India Assurance Company Ltd.,32,Weak,improved
699,OLAELEC,Ola Electric,32,Weak,improved
700,OPTIEMUS,Optiemus infracom,32,Weak,improved
701,RAIN,Rain Industries,32,Weak,improved
702,RENUKA,Shree Renuka Sugars,32,Weak,improved
703,GREAVESCOT,Greaves Cotton,31,Weak,improved
704,OSWALPUMPS,Oswal Pumps,31,Weak,improved
705,RELAXO,Relaxo Footwears,31,Weak,improved
706,TATACHEM,Tata Chemicals Ltd.,31,Weak,held steady
707,VOLTAS,Voltas Ltd.,31,Weak,improved
708,WELSPUNLIV,Welspun Living,31,Weak,improved
709,ELECTCAST,Electrosteel Castings,30,Weak,declined
710,HGINFRA,HGIEL,30,Weak,improved
711,IDEA,Vodafone Idea Ltd.,30,Weak,improved
712,IIFLCAPS,IIFL Securities,30,Weak,held steady
713,PTC,PTC India,30,Weak,improved
714,RTNINDIA,RattanIndia Entr,30,Weak,held steady
715,GRAPHITE,Graphite India Ltd.,29,Weak,improved
716,KITEX,Kitex Garments,29,Weak,improved
717,SPARC,Sun Pharma Adv. Res,29,Weak,held steady
718,ABFRL,Aditya Birla Fashion and Retail Ltd.,28,Weak,improved
719,EMBDL,Embassy Developments,28,Weak,improved
720,MMTC,MMTC Ltd.,28,Weak,improved
721,NETWORK18,Network18 Media,28,Weak,improved
722,SWANCORP,Swan Corp,28,Weak,held steady
723,TMPV,Tata Motors PVeh,28,Weak,held steady
724,NCC,NCC Ltd.,27,Weak,held steady
725,RVNL,Rail Vikas,27,Weak,declined
726,TARC,TARC,27,Weak,improved
727,PCJEWELLER,PC Jeweller,25,Weak,improved
728,GSFC,GSFC,24,Weak,improved
729,INOXWIND,Inox Wind Ltd.,24,Weak,improved
730,PNCINFRA,PNC Infratech,23,Weak,improved
731,SWSOLAR,Sterling,21,Weak,improved
732,ZEEL,Zee Entertainment Enterprises Ltd.,21,Weak,improved
733,IRCON,IRCON International Ltd.,20,Weak,held steady
734,KNRCON,KNR Constructions,20,Weak,held steady
735,RTNPOWER,RattanIndia Power,20,Weak,improved
736,SJVN,SJVN Ltd.,19,Weak,improved
737,TEJASNET,Tejas Networks,19,Weak,declined
738,VIPIND,VIP Industries,17,Weak,improved
,AIIL,Authum Invest,,Not rated,could not be compared
,IFCI,IFCI Ltd.,,Not rated,could not be compared
,IREDA,Indian Renewable,,Not rated,could not be compared
,SUNDARMFIN,Sundaram Finance Ltd.,,Not rated,could not be compared
