nse_symbol,company_name,industry,series,isin
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,EQ,INE600L01024
LATENTVIEW,Latent View,,EQ,INE0I7C01011
LAURUSLABS,Laurus Labs Ltd.,PHARMA,EQ,INE947Q01028
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,EQ,INE970X01018
LENSKART,Lenskart Solut.,,EQ,INE956O01016
LGEINDIA,LG Electronics,,EQ,INE324D01010
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE115A01026
LICI,Life Insurance,,EQ,INE0J1Y01017
LINDEINDIA,Linde India Ltd.,CHEMICALS,EQ,INE473A01011
LLOYDSENGG,Lloyds Engr Works,,EQ,INE093R01011
LLOYDSENT,Lloyds enterprises limited,,EQ,INE080I01025
LLOYDSME,Lloyds Metals,,EQ,INE281B01032
LODHA,Lodha Developers,,EQ,INE670K01029
LOTUSDEV,Sri Lotus Developers,,EQ,INE0V9Q01010
LT,Larsen & Toubro Ltd.,CONSTRUCTION,EQ,INE018A01030
LTF,L&T Finance Ltd,,EQ,INE498L01015
LTFOODS,L T Foods,,EQ,INE818H01020
LTM,LTM,,EQ,INE214T01019
LTTS,L&T Technology Services Ltd.,IT,EQ,INE010V01017
LUMAXTECH,Lumax Auto Tech,,EQ,INE872H01027
LUPIN,Lupin Ltd.,PHARMA,EQ,INE326A01037
LXCHEM,Laxmi Organic Inds.,,EQ,INE576O01020
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,EQ,INE457A01014
MAHSCOOTER,Maharashtra Scooters,,EQ,INE288A01013
MAHSEAMLES,Maharashtra Seamless,,EQ,INE271B01025
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,EQ,INE522D01027
MANKIND,Mankind Pharma,,EQ,INE634S01028
MANORAMA,Manorama Inds,,EQ,INE00VM01036
MANYAVAR,Vedant Fashions,,EQ,INE825V01034
MAPMYINDIA,C.E. Info System,,EQ,INE0BV301023
MARICO,Marico Ltd.,CONSUMER GOODS,EQ,INE196A01026
MARKSANS,Marksans Pharma,,EQ,INE750C01026
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,EQ,INE585B01010
MASTEK,Mastek,,EQ,INE759A01021
MAXHEALTH,Max Healthcare,,EQ,INE027H01010
MAZDOCK,Mazagon Dock,,EQ,INE249Z01020
MCX,Multi Comm. Exc.,,EQ,INE745G01043
MEDANTA,Global Health,,EQ,INE474Q01031
MEDPLUS,Medplus Health Services,,EQ,INE804L01022
MEESHO,Meesho,,EQ,INE0VDM01015
METROPOLIS,Metropolis Health.,,EQ,INE112L01020
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE180A01020
MGL,Mahanagar Gas Ltd.,ENERGY,EQ,INE002S01010
MIDHANI,Mishra Dhatu Nigam,,EQ,INE099Z01011
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE,EQ,INE842C01021
MMTC,MMTC Ltd.,SERVICES,EQ,INE123F01029
MOIL,MOIL,,EQ,INE490G01020
MOTHERSON,Samvardh. Mothe.,,EQ,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE338I01027
MPHASIS,MphasiS Ltd.,IT,EQ,INE356A01018
MRF,MRF Ltd.,AUTOMOBILE,EQ,INE883A01011
MRPL,Mangalore Refinery & Petrochemicals Ltd.,ENERGY,EQ,INE103A01014
MSTCLTD,MSTC,,EQ,INE255X01014
MSUMI,Motherson Wiring,,EQ,INE0FS801015
MTARTECH,MTAR Technologies,,EQ,INE864I01014
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,EQ,INE414G01012
NAM-INDIA,Nippon Life Ind.,,EQ,INE298J01013
NATCOPHARM,NATCO Pharma Ltd.,PHARMA,EQ,INE987B01026
NATIONALUM,National Aluminium Co. Ltd.,METALS,EQ,INE139A01034
NAUKRI,Info Edge (India) Ltd.,IT,EQ,INE663F01032
NAVA,Nava,,EQ,INE725A01030
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS,EQ,INE048G01026
NAZARA,Nazara Technologies,,EQ,INE418L01047
NBCC,NBCC (India) Ltd.,CONSTRUCTION,EQ,INE095N01031
NCC,NCC Ltd.,CONSTRUCTION,EQ,INE868B01028
NEOGEN,Neogen Chemicals,,EQ,INE136S01016
NESCO,Nesco,,EQ,INE317F01035
NESTLEIND,Nestle India,,EQ,INE239A01024
NETWEB,Netweb Technol.,,EQ,INE0NT901020
NETWORK18,Network18 Media,,EQ,INE870H01013
NEULANDLAB,Neuland Labs.,,EQ,INE794A01010
NEWGEN,Newgen Software,,EQ,INE619B01017
NFL,National Fertilizers,,EQ,INE870D01012
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,EQ,INE410P01011
NHPC,NHPC Ltd.,ENERGY,EQ,INE848E01016
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES,EQ,INE470Y01017
NIVABUPA,Niva Bupa Health,,EQ,INE995S01015
NLCINDIA,NLC India Ltd.,ENERGY,EQ,INE589A01014
NMDC,NMDC Ltd.,METALS,EQ,INE584A01023
NSLNISP,NMDC Steel,,EQ,INE0NNS01018
NTPC,NTPC Ltd.,ENERGY,EQ,INE733E01010
NTPCGREEN,NTPC Green Ene.,,EQ,INE0ONG01011
NUVAMA,Nuvama Wealth,,EQ,INE531F01023
NUVOCO,Nuvoco Vistas,,EQ,INE118D01016
NYKAA,FSN E-Commerce,,EQ,INE388Y01029
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,EQ,INE093I01010
OFSS,Oracle Financial Services Software Ltd.,IT,EQ,INE881D01027
OIL,Oil India Ltd.,ENERGY,EQ,INE274J01014
OLAELEC,Ola Electric,,EQ,INE0LXG01040
OLECTRA,Olectra Greentec,,EQ,INE260D01016
ONESOURCE,OneSource Speci.,,EQ,INE013P01021
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,EQ,INE213A01029
OPTIEMUS,Optiemus infracom,,EQ,INE350C01017
ORIENTCEM,Orient Cement,,EQ,INE876N01018
ORKLAINDIA,Orkla India,,EQ,INE16NZ01023
OSWALPUMPS,Oswal Pumps,,EQ,INE0BYP01024
PAGEIND,Page Industries Ltd.,TEXTILES,EQ,INE761H01022
PARADEEP,Paradeep Phosph.,,EQ,INE088F01024
PARAS,Paras Defence,,EQ,INE045601023
PARKHOSPS,Park Medi World,,EQ,INE119201023
PATANJALI,Patanjali Foods,,EQ,INE619A01035
PAYTM,One 97,,EQ,INE982J01020
PCBL,PCBL Chemical,,EQ,INE602A01031
PCJEWELLER,PC Jeweller,,EQ,INE785M01021
PERSISTENT,Persistent Systems Ltd.,IT,EQ,INE262H01021
PETRONET,Petronet LNG Ltd.,ENERGY,EQ,INE347G01014
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,EQ,INE134E01011
PFIZER,Pfizer Ltd.,PHARMA,EQ,INE182A01018
PFOCUS,Prime Focus,,BE,INE367G01038
PGEL,PG Electroplast,,EQ,INE457L01029
PGIL,Pearl Global Inds.,,EQ,INE940H01022
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,EQ,INE211B01039
PICCADIL,Piccadily Agro,,EQ,INE546C01010
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,EQ,INE318A01026
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,EQ,INE603J01030
PINELABS,Pine Labs,,EQ,INE15B701018
PIRAMALFIN,Piramal Finance.,,EQ,INE202B01038
PNB,Punjab National Bank,FINANCIAL SERVICES,EQ,INE160A01022
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE572E01012
PNCINFRA,PNC Infratech,,EQ,INE195J01029
PNGJL,PN Gadgil Jewellers,,EQ,INE953R01016
POLICYBZR,PB Fintech.,,EQ,INE417T01026
POLYCAB,Polycab India,,EQ,INE455K01017
POLYMED,Poly Medicure,,EQ,INE205C01021
POONAWALLA,Poonawalla Fin,,EQ,INE511C01022
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,EQ,INE752E01010
POWERINDIA,Hitachi Energy,,EQ,INE07Y701011
POWERMECH,Power Mech Projects,,EQ,INE211R01019
PPLPHARMA,Piramal Pharma,,EQ,INE0DK501011
PRAJIND,Praj Industries,,EQ,INE074A01025
PREMIERENE,Premier Energies,,EQ,INE0BS701011
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,EQ,INE811K01011
PRICOLLTD,Pricol,,EQ,INE726V01018
PRIVISCL,Privi Speciality Che,,EQ,INE959A01019
PRSMJOHNSN,Prism Johnson,,EQ,INE010A01011
PRUDENT,Prudent,,EQ,INE00F201020
PTC,PTC India,,EQ,INE877F01012
PTCIL,PTC Industries,,EQ,INE596F01018
PURVA,Puravankara,,EQ,INE323I01011
PVRINOX,PVR Inox,,EQ,INE191H01014
PWL,Physicswallah,,EQ,INE0LP301011
QPOWER,Quality Power Elect.,,BE,INE0SII01026
QUESS,Quess Corp,,EQ,INE615P01015
RADICO,Radico Khaitan Ltd,CONSUMER GOODS,EQ,INE944F01028
RAILTEL,Railtel Corpn.,,EQ,INE0DD101019
RAIN,Rain Industries,,EQ,INE855B01025
RAINBOW,Rainbow Child.,,EQ,INE961O01016
RALLIS,Rallis India,,EQ,INE613A01020
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE331A01037
RATEGAIN,RateGain,,EQ,INE0CLI01024
RATNAMANI,Ratnamani Metals,,EQ,INE703B01027
RAYMONDLSL,Raymond Lifestyle,,EQ,INE02ID01020
RBA,Restaurant Brands,,EQ,INE07T201019
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,EQ,INE976G01028
RCF,Rashtriya Chemical,,EQ,INE027A01015
RECLTD,REC Ltd.,FINANCIAL SERVICES,EQ,INE020B01018
REDINGTON,Redington (India) Ltd.,SERVICES,EQ,INE891D01026
REDTAPE,Redtape,,EQ,INE0LXT01019
REFEX,Refex Industries,,EQ,INE056I01025
RELAXO,Relaxo Footwears,,EQ,INE131B01039
RELIANCE,Reliance Industries Ltd.,ENERGY,EQ,INE002A01018
RELIGARE,Religare Enterprises,,EQ,INE621H01010
RENUKA,Shree Renuka Sugars,,EQ,INE087H01022
RHIM,RHI Magnesita,,EQ,INE743M01012
RITES,RITES Ltd.,CONSTRUCTION,EQ,INE320J01015
RKFORGE,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE399G01023
ROUTE,Route Mobile,,EQ,INE450U01017
RPOWER,Reliance Power Ltd.,ENERGY,EQ,INE614G01033
RRKABEL,R R Kabel,,EQ,INE777K01022
RTNINDIA,RattanIndia Entr,,EQ,INE834M01019
RTNPOWER,RattanIndia Power,,EQ,INE399K01017
RUBICON,Rubicon Research,,EQ,INE506V01022
RVNL,Rail Vikas,,EQ,INE415G01027
SAATVIKGL,Saatvik Green Energy,,EQ,INE13B501022
SAFARI,Safari Industries(I),,EQ,INE429E01023
SAGILITY,Sagility,,EQ,INE0W2G01015
SAIL,Steel Authority of India Ltd.,METALS,EQ,INE114A01011
SAILIFE,Sai Life,,EQ,INE570L01029
SAMHI,Samhi Hotels,,EQ,INE08U801020
SAMMAANCAP,Sammaan Capital,,EQ,INE148I01020
SANDUMA,Sandur Manganese,,EQ,INE149K01016
SANOFICONR,Sanofi Cons. Health,,EQ,INE0UOS01011
SANSERA,Sansera Engineering,,EQ,INE953O01021
SAPPHIRE,Sapphire Foods,,EQ,INE806T01020
SARDAEN,Sarda Energy,,EQ,INE385C01021
SAREGAMA,Saregama India,,EQ,INE979A01025
SBFC,SBFC Finance,,EQ,INE423Y01016
SBICARD,SBI Cards,,EQ,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE123W01016
SBIN,State Bank of India,FINANCIAL SERVICES,EQ,INE062A01020
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE513A01022
SCHNEIDER,Schneider Elect.,,EQ,INE839M01018
SCI,Shipping Corporation of India Ltd.,SERVICES,EQ,INE109A01011
SENCO,Senco Gold,,EQ,INE602W01027
SFL,Sheela Foam,,EQ,INE916U01025
SHAILY,Shaily,,EQ,INE151G01028
SHAKTIPUMP,Shakti Pumps,,EQ,INE908D01010
SHARDACROP,Sharda Cropchem,,EQ,INE221J01015
SHAREINDIA,Share India,,EQ,INE932X01026
SHILPAMED,Shilpa Medicare,,EQ,INE790G01031
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE070A01015
SHRIPISTON,SPR Auto Technologie,,EQ,INE526E01018
SHRIRAMFIN,Shriram Finance,,EQ,INE721A01047
SHYAMMETL,Shyam Metalics,,EQ,INE810G01011
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE003A01024
SIGNATURE,SignatureGlobal,,EQ,INE903U01023
SJVN,SJVN Ltd.,ENERGY,EQ,INE002L01015
SKFINDIA,SKF India,,EQ,INE640A01023
SKFINDUS,SKF India (Indust.),,EQ,INE2J8701016
SKIPPER,Skipper,,EQ,INE439E01022
SKYGOLD,Sky Gold & Diamonds,,EQ,INE01IU01018
SMARTWORKS,Smartworks Coworking,,EQ,INE0NAZ01010
SMLMAH,SML Mahindra,,EQ,INE294B01019
SOBHA,Sobha Ltd.,CONSTRUCTION,EQ,INE671H01015
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,EQ,INE343H01029
SONACOMS,Sona BLW Precis.,,EQ,INE073K01018
SONATSOFTW,Sonata Software Ltd.,IT,EQ,INE269A01021
SOUTHBANK,South Indian Bank,,EQ,INE683A01023
SPARC,Sun Pharma Adv. Res,,EQ,INE232I01014
SPLPETRO,Supreme Petroch.,,EQ,INE663A01033
SRF,SRF Ltd.,TEXTILES,EQ,INE647A01010
STAR,Strides Pharma,,EQ,INE939A01011
STARCEMENT,Star Cement,,EQ,INE460H01021
STARHEALTH,Star Health Insu,,EQ,INE575P01011
STLTECH,Sterlite Tech,,BE,INE089C01029
STYL,Seshaasai Technologi,,EQ,INE04VU01023
STYRENIX,Styrenix Performance,,EQ,INE189B01011
SUBROS,Subros,,EQ,INE287B01021
SUDARSCHEM,Sudarshan Chemicals,,EQ,INE659A01023
SUDEEPPHRM,Sudeep Pharma,,EQ,INE0QPI01025
SUMICHEM,Sumitomo Chemi.,,EQ,INE258G01013
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,EQ,INE660A01013
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,EQ,INE044A01036
SUNTECK,Sunteck Realty,,EQ,INE805D01034
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,EQ,INE424H01027
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE195A01028
SUPRIYA,Supriya Lifescience,,EQ,INE07RO01027
SURYAROSNI,Surya Roshni,,EQ,INE335A01020
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE040H01021
SWANCORP,Swan Corp,,EQ,INE665A01038
SWIGGY,Swiggy,,EQ,INE00H001014
SWSOLAR,Sterling,,EQ,INE00M201021
SYNGENE,Syngene International Ltd.,PHARMA,EQ,INE398R01022
SYRMA,Syrma SGS Tech.,,EQ,INE0DYJ01015
TANLA,Tanla Platforms,,EQ,INE483C01032
TARC,TARC,,EQ,INE0EK901012
TARIL,T R I L,,EQ,INE763I01026
TATACAP,Tata Capital,,EQ,INE976I01016
TATACHEM,Tata Chemicals Ltd.,CHEMICALS,EQ,INE092A01019
TATACOMM,Tata Comm,,EQ,INE151A01013
TATACONSUM,Tata Consumer,,EQ,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,IT,EQ,INE670A01012
TATAINVEST,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,EQ,INE672A01026
TATAPOWER,Tata Power Co. Ltd.,ENERGY,EQ,INE245A01021
TATASTEEL,Tata Steel Ltd.,METALS,EQ,INE081A01020
TATATECH,Tata Technolog.,,EQ,INE142M01025
TBOTEK,TBO Tek,,EQ,INE673O01025
TCS,Tata Consultancy Services Ltd.,IT,EQ,INE467B01029
TDPOWERSYS,TD Power Systems,,EQ,INE419M01027
TECHM,Tech Mahindra Ltd.,IT,EQ,INE669C01036
TECHNOE,Techno Elec.Engg,,EQ,INE285K01026
TEGA,Tega Inds.,,EQ,INE011K01018
TEJASNET,Tejas Networks,,EQ,INE010J01012
TENNIND,Tenneco Clean,,EQ,INE19RI01016
TEXRAIL,Texmaco Rail,,EQ,INE621L01012
THANGAMAYL,Thangamayil Jeweller,,EQ,INE085J01014
THELEELA,Leela Palaces Hotels,,EQ,INE0AQ201015
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE152A01029
THOMASCOOK,Thomas Cook India,,EQ,INE332A01027
THYROCARE,Thyrocare Tech,,EQ,INE594H01019
TI,Tilaknagar Inds,,EQ,INE133E01013
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,EQ,INE974X01010
TIMETECHNO,Time Technoplast,,EQ,INE508G01029
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE325A01013
TIPSMUSIC,Tips Music,,EQ,INE716B01029
TITAGARH,Titagarh Rail,,EQ,INE615H01020
TITAN,Titan Company Ltd.,CONSUMER GOODS,EQ,INE280A01028
TMB,Tamilnad Mercantile,,EQ,INE668A01016
TMCV,Tata Motors,,EQ,INE1TAE01010
TMPV,Tata Motors PVeh,,EQ,INE155A01022
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,EQ,INE685A01028
TORNTPOWER,Torrent Power Ltd.,ENERGY,EQ,INE813H01021
TRANSRAILL,Transrail Lighting,,EQ,INE454P01035
TRAVELFOOD,Travel Food,,EQ,INE103V01028
TRENT,Trent Ltd.,CONSUMER GOODS,EQ,INE849A01020
TRIDENT,Trident Ltd.,TEXTILES,EQ,INE064C01022
TRITURBINE,Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE152M01016
TRIVENI,Triveni Engg,,EQ,INE256C01024
TSFINV,TSF Investments,,EQ,INE202Z01029
TTML,Tata Tele. Mah.,,EQ,INE517B01013
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,EQ,INE494B01023
TVSSCS,TVS Supply Chain Sol,,EQ,INE395N01027
UBL,United Breweries Ltd.,CONSUMER GOODS,EQ,INE686F01025
UCOBANK,UCO Bank,FINANCIAL SERVICES,EQ,INE691A01018
UJJIVANSFB,Ujjivan Small Fin,,EQ,INE551W01018
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE481G01011
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,EQ,INE692A01016
UNITDSPR,United Spirits,,EQ,INE854D01024
UNOMINDA,Uno Minda,,EQ,INE405E01023
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,EQ,INE628A01036
URBANCO,Urban Company,,EQ,INE0CAZ01013
USHAMART,Usha Martin,,EQ,INE228A01035
UTIAMC,UTI AMC,,EQ,INE094J01016
UTLSOLAR,Fujiyama Power Syste,,EQ,INE12UR01024
V2RETAIL,V2 Retail,,EQ,INE945H01021
VAIBHAVGBL,Vaibhav Global,,EQ,INE884A01027
VARROC,Varroc Engineering,,EQ,INE665L01035
VBL,Varun Beverages Ltd.,CONSUMER GOODS,EQ,INE200M01039
VEDL,Vedanta Ltd.,METALS,EQ,INE205A01025
VGUARD,V-Guard Inds.,,EQ,INE951I01027
VIJAYA,Vijaya Diagnost.,,EQ,INE043W01024
VIKRAMSOLR,Vikram Solar,,EQ,INE078V01014
VIPIND,VIP Industries,,EQ,INE054A01027
VIYASH,Viyash Scientific,,EQ,INE807F01027
VMART,V-Mart Retail,,EQ,INE665J01013
VMM,Vishal Mega Mart,,EQ,INE01EA01019
VOLTAMP,Voltamp Transformers,,EQ,INE540H01012
VOLTAS,Voltas Ltd.,CONSUMER GOODS,EQ,INE226A01021
VTL,Vardhman Textiles Ltd.,TEXTILES,EQ,INE825A01020
WAAREEENER,Waaree Energies,,EQ,INE377N01017
WAAREERTL,Waaree Renewables,,EQ,INE299N01021
WABAG,VA Tech Wabag,,EQ,INE956G01038
WAKEFIT,Wakefit Innovations,,EQ,INE0E7301029
WEBELSOLAR,Websol Energy System,,EQ,INE855C01023
WELCORP,Welspun Corp Ltd.,METALS,EQ,INE191B01025
WELENT,Welspun Enterprises,,EQ,INE625G01013
WELSPUNLIV,Welspun Living,,EQ,INE192B01031
WESTLIFE,Westlife Development,,EQ,INE274F01020
WEWORK,Wework India Managem,,EQ,INE085001019
WHIRLPOOL,Whirlpool of India Ltd.,CONSUMER GOODS,EQ,INE716A01013
WIPRO,Wipro Ltd.,IT,EQ,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,PHARMA,EQ,INE049B01025
YATHARTH,Yatharth Hospital,,EQ,INE0JO301016
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,EQ,INE528G01035
ZAGGLE,Zaggle Prepaid Ocean,,EQ,INE07K301024
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,EQ,INE256A01028
ZENSARTECH,Zensar Technolgies Ltd.,IT,EQ,INE520A01027
ZENTEC,Zen Technologies,,EQ,INE251B01027
ZFCVINDIA,ZF Commercial,,EQ,INE342J01019
ZYDUSLIFE,Zydus Lifesci.,,EQ,INE010B01027
ZYDUSWELL,Zydus Wellness Ltd.,CONSUMER GOODS,EQ,INE768C01028
