company_name,industry,nse_symbol,series,isin
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
EIH Ltd.,SERVICES,EIHOTEL,EQ,INE230A01023
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
Elecon Engg.Co,,ELECON,EQ,INE205B01031
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Emcure Pharma,,EMCURE,EQ,INE168P01015
Emmvee Photovol.,,EMMVEE,EQ,INE1C6T01020
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Eris Lifesciences Ltd.,PHARMA,ERIS,EQ,INE406M01024
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Eternal,,ETERNAL,EQ,INE758T01015
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
F A C T,,FACT,EQ,INE188A01015
FSN E-Commerce,,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Five-Star Bus.Fi,,FIVESTAR,EQ,INE128S01021
Force Motors,,FORCEMOT,EQ,INE451A01017
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
GE Vernova T&D,,GVT&D,EQ,INE200A01026
GMR Airports,,GMRAIRPORT,EQ,INE776C01039
Gabriel India,,GABRIEL,EQ,INE524A01029
Gallantt Ispat L,,GALLANTT,EQ,INE297H01019
Garden Reach Sh.,,GRSE,EQ,INE382Z01011
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,EQ,INE322A01010
Gland Pharma,,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Global Health,,MEDANTA,EQ,INE474Q01031
Go Digit General,,GODIGIT,EQ,INE03JT01014
Godawari Power,,GPIL,EQ,INE177H01039
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
Gravita India,,GRAVITA,EQ,INE024L01027
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032
Gujarat Fluoroch,,FLUOROCHEM,EQ,INE09N301011
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01024
HBL Engineering,,HBLENGINE,EQ,INE292B01021
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDB FINANC SER,,HDBFS,EQ,INE756I01012
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hexaware Tech.,,HEXT,EQ,INE093A01041
Himachal Fut Com Ltd.,TELECOM,HFCL,EQ,INE548A01028
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,EQ,INE019C01026
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01020
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
Hitachi Energy,,POWERINDIA,EQ,INE07Y701011
Home First Finan,,HOMEFIRST,EQ,INE481N01025
Honasa Consumer,,HONASA,EQ,INE0J5401028
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,EQ,INE031A01017
Hyundai Motor I,,HYUNDAI,EQ,INE0V6F01027
I R C T C,,IRCTC,EQ,INE335Y01020
I R F C,,IRFC,EQ,INE053F01010
ICICI AMC,,ICICIAMC,EQ,INE346A01027
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IIFL Finance,,IIFL,EQ,INE530B01024
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01022
IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01021
ITC Hotels,,ITCHOTELS,EQ,INE379A01028
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
ITI Ltd.,TELECOM,ITI,EQ,INE248A01017
Indegene,,INDGN,EQ,INE065X01017
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indiamart Inter.,,INDIAMART,EQ,INE933S01016
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,EQ,INE565A01014
Indian Renewable,,IREDA,EQ,INE202E01016
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01027
Indus Towers,,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01032
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
International Ge,,IGIL,EQ,INE0Q9301021
Inventurus Knowl,,IKS,EQ,INE115Q01022
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01036
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,EQ,INE823G01014
JBM Auto,,JBMA,EQ,INE927D01051
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023
JP Power Ven.,,JPPOWER,EQ,INE351F01018
JSW Cement,,JSWCEMENT,EQ,INE718I01012
JSW Dulux,,JSWDULUX,EQ,INE133A01011
JSW Energy Ltd.,ENERGY,JSWENERGY,EQ,INE121E01018
JSW Infrast,,JSWINFRA,EQ,INE880J01026
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
Jain Resource,,JAINREC,EQ,INE0YD401026
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jindal Saw Ltd.,METALS,JINDALSAW,EQ,INE324A01032
Jindal Stainless Ltd.,METALS,JSL,EQ,INE220G01021
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Jio Financial,,JIOFIN,EQ,INE758E01017
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01020
Jubilant Ingrev.,,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmo,,JUBLPHARMA,EQ,INE700A01033
Jupiter Wagons,,JWL,EQ,INE209L01016
